method_name,seed,policy_id,candidate_label,episode_id,env_idx,env_seed,security_return,business_return,cost_return,business_violation_flag,cost_violation_flag,env_run_feasible_flag,enterprise_foothold_step,first_critical_hit_step,ever_critical_breach,final_critical_breach,critical_dwell_steps,op_server0_impact_count,max_compromised_host_count,blue_first_relevant_response_step,response_delay_after_enterprise,response_delay_after_critical,no_post_critical_response,risk_tier
ours_stage2_fair_critical_safe_v1,11,stage1_pref_005_ckpt_096,critical_safe_balanced_selected,episode_000,0,11,-522.6499966979027,-128.17750061303377,-27.450000390410423,True,True,False,5,12,True,False,63,51,5,7,2,1,False,Tier 2 Transient Critical Breach
ours_stage2_fair_critical_safe_v1,11,stage1_pref_005_ckpt_096,critical_safe_balanced_selected,episode_000,1,1011,-512.6499971151352,-134.2625013589859,-26.010000377893448,True,True,False,5,12,True,True,69,57,4,7,2,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v1,11,stage1_pref_005_ckpt_096,critical_safe_balanced_selected,episode_000,2,2011,-513.9499978423119,-132.98499984294176,-26.200000375509262,True,True,False,5,12,True,True,73,63,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v1,11,stage1_pref_005_ckpt_096,critical_safe_balanced_selected,episode_000,3,3011,-554.6499966979027,-140.8025000616908,-27.360000401735306,True,True,False,5,12,True,True,64,49,5,7,2,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v1,11,stage1_pref_005_ckpt_096,critical_safe_balanced_selected,episode_000,4,4011,-525.8999976217747,-129.24000078067183,-25.640000373125076,True,True,False,5,12,True,True,70,59,5,7,2,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v1,11,stage1_pref_005_ckpt_096,critical_safe_balanced_selected,episode_000,5,5011,-518.8499969542027,-133.45250067859888,-24.800000339746475,True,True,False,5,12,True,True,70,59,5,8,3,5,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v1,11,stage1_pref_005_ckpt_096,critical_safe_balanced_selected,episode_000,6,6011,-503.6499966979027,-137.59499943628907,-25.320000365376472,True,True,False,5,12,True,True,74,64,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v1,11,stage1_pref_005_ckpt_096,critical_safe_balanced_selected,episode_000,7,7011,-527.4499973654747,-135.20000025629997,-26.58000037074089,True,True,False,5,12,True,True,69,57,5,6,1,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v1,11,stage1_pref_005_ckpt_096,critical_safe_balanced_selected,episode_001,0,12,-546.2999977171421,-133.74000046402216,-26.58000038564205,True,True,False,5,12,True,True,71,59,5,7,2,1,False,Tier 3 Persistent Critical Breach
ours_stage2_fair_critical_safe_v1,11,stage1_pref_005_ckpt_096,critical_safe_balanced_selected,episode_001,1,1012,-623.3999981284142,-130.64500065892935,-24.04000034928322,True,True,False,5,12,True,True,78,71,4,6,1,2,False,Tier 3 Persistent Critical Breach
